time,cell_id,bottom_x,bottom_y,top_x,top_y
347,1,632.6620685972973,905.0979787925148,626.9227331070765,896.9381024048193
348,1,632.7205852378895,905.0721913452458,626.86225973049,896.9916734221747
349,1,632.7842060521906,905.0455794308209,626.8039175925234,897.0447362300488
350,1,632.844022056169,905.0158304570967,626.7483189808183,897.1005979765686
351,1,632.9144237903254,904.9837817726345,626.6950068767513,897.1583457368799
352,1,632.9837269927758,904.944117159534,626.6413516142601,897.2157579550637
353,1,633.0473810026889,904.9048470789905,626.5878631601257,897.2819633698188
354,1,633.113866174305,904.8717274415793,626.5266349733389,897.3425759387491
355,1,633.1847518301603,904.8306480366463,626.4726307593298,897.4061675970228
356,1,633.2541702900348,904.7843940067357,626.4233157801926,897.4636819249943
357,1,633.3253726451356,904.7334239284295,626.3706521402061,897.5246694031996
358,1,633.3964086850251,904.6888719200058,626.3200221478417,897.5919160751441
359,1,633.4672938404534,904.6445141439347,626.2733093897454,897.6615055855962
360,1,633.5381963073613,904.5976391964714,626.2364120081862,897.7318971876124
361,1,633.6073444072675,904.5568325801411,626.1944516447392,897.8116522472176
362,1,633.6780391272663,904.5157636076596,626.1427945816281,897.8926212890296
363,1,633.7461879600785,904.4718210375853,626.0915283654001,897.9733391264884
364,1,633.806036066906,904.4215683842813,626.0428988004313,898.0556546679255
365,1,633.8633409404621,904.3654073625897,625.9911072595085,898.1427518949739
366,1,633.9115123700215,904.3097915734168,625.9477560768685,898.2423774710161
367,1,633.9591421132666,904.2591883007509,625.902104632985,898.3424462227322
368,1,634.0037496355495,904.2091549900325,625.8541941852418,898.4382285007146
369,1,634.0522500044032,904.1622717181779,625.8110601019005,898.5317959031255
370,1,634.1041794175983,904.120511070453,625.7642189876472,898.6301882185252
371,1,634.1517768380108,904.0713209320808,625.7217146422875,898.7230572838914
372,1,634.196780325789,904.0247974800011,625.6749929926946,898.8164950806498
373,1,634.2406512448194,903.9821121299423,625.6338429838949,898.9110998139232
374,1,634.279936424247,903.9368426066334,625.5826889569978,899.0039845355357
375,1,634.3183525211856,903.8905325719861,625.539713719168,899.1028104424952
376,1,634.3554270907888,903.8457462861737,625.5031011445764,899.1990457128885
377,1,634.3888129056086,903.8000669429958,625.4629087625018,899.2927237744799
378,1,634.4170887552808,903.7506546411909,625.4185768341351,899.3893672550861
379,1,634.4419483311655,903.6979222361402,625.3744179836704,899.4840574665964
380,1,634.4669652704933,903.6454388020351,625.3345495840213,899.5736548206844
381,1,634.4904839854662,903.5986504838613,625.2965757101131,899.6558613682489
382,1,634.5154007217466,903.5510955782815,625.2598363670228,899.7312435647974
383,1,634.5329485393719,903.5010274575002,625.2239100229974,899.8026123302785
384,1,634.5467760180638,903.45748818153,625.1894524045595,899.8765492922527
385,1,634.5561734570575,903.4124338091063,625.1535273158689,899.9531365673142
386,1,634.5630577120331,903.3636344658765,625.123772905805,900.0255909021619
387,1,634.5719837949033,903.3137511253999,625.0959654996018,900.0961098898463
388,1,634.5810007965198,903.2556962987975,625.069994099184,900.1603904030627
